id,name_ja,url,note
berlin,ベルリン,https://www.weihnachteninberlin.de,
muenchen,ミュンヘン,https://www.muenchen.travel/,
hamburg,ハンブルク,http://www.hamburger-weihnachtsmarkt.com/,
koeln,ケルン,https://www.koelnerweihnachtsmarkt.de,
frankfurt,フランクフルト,https://www.frankfurt-tourismus.de/,
stuttgart,シュトゥットガルト,https://www.stuttgarter-weihnachtsmarkt.de,
dresden,ドレスデン,https://www.weihnachtsmarkt-dresden.de,
leipzig,ライプツィヒ,https://www.leipzig.de/weihnachtsmarkt,
nuernberg,ニュルンベルク,https://www.christkindlesmarkt.de,
duesseldorf,デュッセルドルフ,,出典ページにURLの明示なし（本文のみ）
dortmund,ドルトムント,,出典ページにURLの明示なし（本文のみ）
luebeck,リューベック,https://www.luebeck-tourismus.de/kultur/weihnachtsstadt-des-nordens,
heidelberg,ハイデルベルク,https://www.heidelberg-marketing.de/,
erfurt,エアフルト,https://www.erfurter-weihnachtsmarkt.eu,
augsburg,アウグスブルク,https://augsburgerchristkindlesmarkt.com,
annaberg-buchholz,アンナベルク・ブッフホルツ,https://www.annaberg-buchholz.de,
